Text,Score
"I did not purchase this product off of Amazon. I purchased the 12 oz. bottle at a local store, and I must say it's one of the most addicting sauces I have ever had! I'm a pretty picky eater, and a vegetarian at that, so sauces play a key role in making an average meal a great one. This sauce is ALMOST perfect. It's very sweet, and has a strong garlic taste at first. It isn't as thick as the Red Hot brand, which I didn't like much at all (thick, not as flavorful, way too chunky). This sauce would be appropriate for children who like a little kick for their chicken nuggets and what not. My son loves spicy food just like his mommy. Another plus is there are only 70 calories in 2 tablespoons, and that much sauce goes a long way. 1 gram of fiber, too! The only thing I have a hard time with, and this is just a personal issue, is the texture of the red chilli. They tastes great, but they have a very thin, clear ""skin"" that has this horrible crunchy texture on some of the pieces. Not all, just some. I get it stuck in my mouth and on my teeth and it hits a nerve that makes me feel a bit queasy. Still, I eat it anyway lol and will continue to do so because this is one of the best sauces I have EVER tasted! I would recommend anyone to try this sauce first, and then try others if you are not fully satisfied. This sauce is amazing. It was about $1.50 at the store for 12 oz. but if you like the easiness of ordering online or can't find it near you, know that I would pay Amazon's price for it any day! Buy this sauce. I don't care where or how, just buy it. You'll fall in love!",5
"These cookies are both yummy and well priced. I recommend them. Other cookies I like are Mrs. Fields(packaged), Chips ahoy soft baked, fig newtons, oreos, and elf cookies.",4
I recently went gluten free and this is one of my favorite mixes.  I used it for biscuits and pancakes and it's very good.  You can also use it for pizza dough and to make fried chicken - it's about average for that.,5
"I absolutely LOVE this product - being able to have pancakes was my original goal - however - I made the pizza with it & was absolutely thrilled about the pizza<br />These are small boxes (makes two pizzas per box), but I would highly recommend - I am reordering a pack of three now!",5
This is one of the best GLUTEN-FREE mix on the market!!! It makes fluffy pancakes and light cornbread.  Also it is a great price!  I have had different mixes on the market in all price ranges and this is the best!!!,4
I bought this brand and it was just horrible. Amazon needs to source and offer 3 Ladies brand wrappers as they are just superior to anything out on the market today.,1
"My father grew up in Argentina and since he came to the States has been searching for the perfect dulce de leche that reminded him of his childhood. He doesn't have to search anymore, I bought him a couple of jars this past Christmas and he has been a happy camper ever since.",5
"I bought this seasoning because Amazon stopped selling the 12 count Konriko cajun seasoning so this was the one they had in a 12 count.  I bought it thinking it would be similar to the Konriko, BOY WAS I WRONG!!!<br /><br />First of all like another reviewer said some of the ingredients are as follows:  hydrolyzed soy protein, and Partially hydrogenated cottonseed and soy bean oil.  I was completely stumped as to why these two ingredients were necessary in a spice blend mix.  Now I know why with the hydrolyzed soy protein; as the other reviewer stated it's a industry way of adding MSG.  Well why in the world do we need that and what's up with the HYDROGENATED SOY BEAN AND COTTONSEED OIL!!!!  BESIDE IT BEING BAD FOR YOUR HEALTH IT CAUSES THE PRODUCT TO CAKE AND CLUMP.  I steer clear of products with hydrogenated oils in them.  An even though this may not have many trans fat an accumulation over time is what makes this deceptively bad for your health.  When I purchased this last year they did not have the ingredients listed in the description, now it is.  I think that AMAZON as a regular practice should require all food products/company's to list the ingredients of their product to sell on their site.  WHY WAIT UNTIL THE CUSTOMER PURCHASE IT TO FIND OUT???!!!  I don't think this is a customer friendly practice!!!!<br /><br />Not a good buy IMO.  I found my Konriko at another site and will be purchasing it from there; unless AMAZON brings it back at a 12 count offer; otherwise to buy one at $8 and $4.99 s/h is just way over priced and highway robbery!!!!",1
"I found out about this spice blend in Dallas a few years back when I persuaded a waitress to tell me what the restaurant was using on the grilled shrimp.<br /><br />I like this Cajun spice for grilling fish. Recommend, but store it in a dry place and replace it every year or so at least, or it will lose its flavor.",4
"So as soon as the delivery guy gave me the package I opened it ready to eat some gummy bears and all I got was a big goo of gummy bears. Due to the heat of the delivery truck it all melted into gel. Of course it is not refundable so now all i have is a bag a liquid-multicolored goo. thanks for making me throw away 15 dollars. Good game amazon. So think about if its summer or kinda warm, stop and wait till december.",1
Unexcelled as to price and equal in quality to the best !,5
at it's best.  I have been drinking this tea since high school and the flavor has not wavered.  I've tried plain chamomile and it didn't make the cut. Nothing beats a cup or two of Sleepy Time before bed as it calms the nerves and settles the tummy.  What a perfect way to drift off into slumber !,5
"I got this product ship one day express. Unfortunately, when it arrived and I opened it, all I saw was a big blob of melted chocolate with LITTLE macadamia nuts in the center of the holders.",1
"I think I liked a similar drink but this one is just there. It's bubbly. It's sort of orange flavored. It has a sharpness but there's nothing about it that excites me. It's a good old fashioned carbonated beverage and if it's inexpensive buy it. If it's significantly more expensive than most drinks, leave it. Buy coke instead.",3
"This is the best marinade to inject in a Fried Turkey EVER made!  You don't have to add anything of your own (maybe a little olive oil, but that's all).  Plus there is a shaker mix you can buy to sprinkle on the top of the turkey, BUT this marinade can be injected to make a tender, juicy fried turkey.  We LOVED it!",5
"I am the biggest fan of mushrooms you'll ever meet, but these are really disgusting. They taste like dirt. I have to imagine better quality truffles (if these are even truffles at all) are muuuuch better. They'd have to be. There'd be no comparison. These are really bad.",1
"They are just that - 100 calorie bags of pretzels. Snyder's tends to have one of the best tasting pretzels according to my taste buds. These bags create instant portion control and are a great value for the price, especially with subscribe and save. I also throw them in the kids' lunch bags and keep some in the car for road trips.",5
Coffee is good but I don't care for individual pacs. Would rather have coffee in bags like their other coffee is packed.,3
"Are you sick of the regular flavors? Plain, apples and cinnamon, brown sugar....<br /><br />Yeah me too. This really changes oatmeal up. At least for me it did. I have been eating oatmeal for some time and saw these flavors and figured how could I lose. These new flavors are fantastic and I can't recommend them enough. If you think their too strong you could always mix two packets like me and use a plain with one of these. I don't generally do that but I like to use up the plain packets I usually have left over from the other assortments I get.",5
The vendor is fast and dependable. The tea is simply the best way to relax and great tasting too. Highly recommend !!,5
"We usually have fresh lemon grass tea at our local Zen center. It is extremely easy to make, put a few blades of lemon grass in a pot to steep and you will get a fantastic tasting tea.<br /><br />This tea is here is a fine replacement for when you cannot get fresh lemon grass. Lemon grass has many health benefits. It is said to detoxify the liver and can lower uric acid levels, this is important if you have gout.<br /><br />Because you get such a large quantity here on Amazon it should last you quite a while. Caffeine free and light it makes a very refreshing afternoon tea.<br /><br />Give it a try!<br /><br />Thank you for reading my review.",5
"I am still waiting for Peets to come out with Kcups, but in the meantime, the Wolfgang Puck's coffees are filling the bill. I really like Sorrento AND Rodeo Drive---smooth and full bodied.<br />JS",5
I love this coffee. Great taste and great way to start your morning. If you like flavored coffee you will like this.,5
"I love Sumatra coffee and was excited to receive these K-Cups however was disappointed when I opened my Amazon box and found that the plastic wrap holding the two boxes of K-Cups was full of grinds meaning that there was a possible blowout of a cup... after carefully unwrapping the boxes and attempting to get as little coffee grinds everywhere as possible I opened the first box and all cups were fine, however the second box every kcup was covered in fine grinds and I had to clean each one and found that 3 of the cups were defective due to the top being stamped on at an angle and the grinds had spilled everywhere. I now see other reviews stating they had defective cups as well. However the taste of the coffee is good.",4
"This coffee has a very tropical taste to it, so it's perfect for iced coffee on a hot day.  The flavor is not bad when heated, but it just seems a little odd.<br /><br />You don't usually think of tropical beverages being hot.",4
"My chihuahuas like this treat, but they do not eat it with enthusiasm. They hesitate and let it sit quite often.",2
"One reviewer mentioned that this coffee was decaff and said it was listed as such on the bottom of the box (in small print). I checked my current box and saw no such labeling information. HOWEVER, the new boxes I received are a different color, with a slapped on label for Hawaiian Hazelnut and NOW the bottom of the box says it's made from 100% decaff coffee. While I like the flavor, I do NOT want decaff in the morning, which is when I drink coffee.<br /><br />Unfortunately, I am unable to return this item to Amazon because of their return policy, which is why I'm writing this review, to make sure others know the coffee packaging has changed and it is definitely labeled as decaffeinated now. I would give more stars for flavor, but the lack of official notification in the product description that this coffee is decaff makes me feel as if I tossed my money out the window, buying something I would not have otherwise ordered.",2
I've tried all Vanilla coffee K-cups and by far this is the best! Wolf Gang Puck Vanilla Francaise is a smooth vanilla experience that lasts way after the coffee is consumed.  Try it you'll love it!,5
There was no seal of any kind on jar. Cap had loosened slightly and some of the paprika had spilled out. Would not chance using an open jar so in the trash it went.,1
"I do not understand the bad review below. The Chuckles boxes come to 40 ounces. The Chuckles bars are 48 ounces at nearly twice the price. That's right. The boxes cost almost half as much.<br />The boxes are big and inside the Chuckles are in a plastic bag. Yes, they are not evenly distributed. Oh, well.",5
We are definately coffee addicts and have tried tons of different coffees out there on the internet over the years. We go through a pound of coffee every 5 days. We have ordered from almost every specialty coffee place out there and alot of them were great ones but was always still looking for that certain taste and this one has it!! I am so happy we decided to try this coffee. We are now monthly subscribers. This is also the first review I have ever posted and I have bought quite a bit from Amazon. This coffee is GREAT!,5
"This cereal makes getting your fiber easier, but it does not taste as good as the other products in the same line. I was expecting ""Caramel Delight"" to have a powerful caramel flavor, but found it lacking. It's not that the cereal is inedible - it tastes fine, but the flavor gets a little lost once you add milk. It's like you're eating ""healthy"" cereal - the ""clusters"" options make it much easier to feel like you're indulging and taste much better. Just be warned - don't eat too much. Don't snack on it like it's popcorn. It's got fiber, even if you can't taste it - and your body will let you know when you've had too much.",3
"I buy these for my yorkies for beautiful hair and healthy hearts. They love the salmon paws with broccoli, and no diarrhea  issues<br />from the salmon, because of the broccoli. Good for their sensitive digestive systems, and nice chewy texture for their teeth, easily broken up is a big plus for tiny mouths. Seller is very prompt and never a problem.",5
I bought this for my office. It was perfect because it fits just right on the mini fridge with room for my mugs on the side. We love it because you can now see what to pick from when before we were going through boxes of k-cups.,4
Tray fits perfectly under the coffee maker.  Color compliments color of coffee maker.  Non-skid top keeps coffee maker in place. Drawer is ventilated.  Ample storage space.  Love it.,5
"If you like cheese seasoning on your popcorn, this product will not deliver.  It tastes like they should instead of putting anything cheese related on the label they should say, 'improved salt flavoring that will stick to popcorn more than salt'.  I would recommend anything by Kernal Season's brand... that tastes like cheese.  But if you like a salty tasting popcorn, this is the seasoning for you...",1
Walkers treacle toffees are the best treacle with most desirable chewing consistency and taste. This package was well priced and delivery was prompt. I wish there was a larger per pack amount available.,5
"SANS root beer has &lt;1 carb and zero calories. I have been on the hunt for good soda without sugar, aspartame or sucralose for a long time. I tried Zevia and think that the SANS root beer is much better. No weird aftertaste and it's not heavy tasting, just light and refreshing. I actually finish the entire can and I never did that with Zevia. I highly recommend SANS root beer soda!",5
"I love peanuts and I also love salt but these nuts have very little taste EXCEPT salt.  Believe me, there is not much that I consider ""too salty"" but these certainly qualify.  Also, as another reviewer mentioned, they are bland - not peanut-y.  Trader Joe's ""blister peanuts"" are far superior to these. Indeed, I think a commercial brand like Planters is probably superior (and much cheaper).  After this purchase, I am still on the lookout for peanuts better than I can purchase in the grocery store.<br />Sorry I got them.",2
"its more expensive than the rest but let me tell you....great quality, easy to clean, to use and works great cuz i have the meals ready to go....WELL PRESERVED",5
"I made the mistake of trying to sprout about a half cup of sprout seeds, and it made so many sprouts it lasted us two weeks!<br /><br />Really needs some directions on the package in terms of quantity (I'd suggest sprouting a 1/4 cup of seeds to start!).<br /><br />The sprouts are really great on salads.  Have a little bit of a hot mustard bite.<br /><br />My only concern is the price.  $13 a pound for sprouts seems a little high to me, even though these are quality sprouts (and free shipping).<br /><br />So I gave the sprouts four stars based on lack of directions on the package and price.",4
"We have a very picky cat. He turns his nose up to well-loved kitty delights such as Fancy Feast, Friskies, or anything too low-brow for his tastes. He LOVES these treats, which says a lot. You never can predict what your cat's taste buds will enjoy, but I'd recommend these treats on the basis that a) a picky kitty likes them; and b) they don't stink to high hell.",5
"Dog treats. What do you do with dog treats? Well, if you have a dog that is very food-centered, then dog treats are the best thing going as you can use them as the necessary treats for helping in training your dog, or maintaining his/her training later on in their lives.<br /><br />We have a big dog, so training her is a must. These treats are definitely a hit with our pooch! They are also small enough that we do not feel too bad using several during a training session. They are dry squares with a look and feel of thick crackers. Once you open the bag, there are many pieces, but there is a line through the center which means that you can break them in half pretty easily. This extends the amount of them you can use by two.<br /><br />I cannot vouch for how they taste but they certainly attract my dog and she is very attentive when I bring the bag out. The label talks about the ingredients being organic, consisting of Lamb and Barley - which is all to the good as there are dogs that are not happy with corn-based products, etc.<br /><br />All in all, it's a nice product and one that my dog appreciates, and I would definitely consider purchasing them at my store.",4
"I can't give these less than 3 stars because... well, dogs eat them.<br /><br />However, be aware that these are another brand of extremely hard dog biscuit, while most dogs I have known seem to get most excited by softer (and stinkier) treats.  In fact, these might even be harder than the common milkbone stuff.  I can't comment on taste, but soft and stinky definitely get the biggest reactions.",3
"Of course most dogs do love a treat, but I have found some they actually wouldn't eat.<br />Not the case here.  These are light and come where you can break them in half for small or larger dogs.<br /><br />Although more pricey then say Milkbones, you know exactly what's in these treats.  No added preservatives, etc.<br /><br />I've tried several of Newman's products and have found them to be excellent in quality.... plus the company donates a large portion of their profits to charity.<br /><br />Buying this product for your dog not only makes the dog happy, but you can rest assured you're purchasing from a quality company.<br /><br />Thank you.<br />MEF",5
I like hot stuff but this thing was a killer.  I put a tiny dab of it on a toothpick and was sick the rest of the day.,1
Ive bought these on a couple other occasions---and I swear they downsized the packages..They are good but a pack used to fill me now im not.I guess thats the trend--in ice cream and hormel chili the sizes have been trimmed so you wouldnt notice.  well looks like the Chinese are up to our tricks.  But they are still good just not the deal they used to be.,4
"i guess its because i LOVE sugar that this particular item tasted only a little bit less than cardboard! YUK! sure, i will eat the entire 2 boxes i got for FREE but i wont be enjoying it though. these needed just a bit more sweetness, so i suppose i can always dip them in honey to get the flavour i want. other than that they have a lot of good stuff in them thats good for you, but i like what goes in my mouth to have some flavour to it as well",3
"I try not to each a lot of processed food, but occasionally I indulge. These are the very best cheese crunchies and gluten free too! I have found these at New Seasons in Portland Oregon every once in a while, but wish they were more readily available. Very good!!!!",5
"Nabisco ""Big"" Wheat Thins taste great despite a name that didn't exactly excite me about trying them. They make great snacking crackers; and when you serve these to your guests you're gonna be loved by them forever! Hehehe<br /><br />The crackers are very low in fat; and there are no trans fats at all in a serving--hooray! These crackers contain no cholesterol and you do get 5 grams of whole grain in a single serving. Excellent! The crackers contain a relatively low amount of sodium which is more good news.<br /><br />Moreover, the crackers contain defatted wheat germ; this is very healthy for you.<br /><br />The extra large size of these crackers makes them particularly useful when you serve them with a dip to guests. Of course, you can also treat yourself to this same delight! They taste wonderful with a garlic and herb cheese dip I sometimes use.<br /><br />One small caveat: Eat these before any expiration date printed or stamped on the top of the box. You wouldn't want to eat stale crackers, now would you?<br /><br />Overall, Wheat Thins are some of the best crackers on your grocer's shelf. Buy a box and enjoy some today!",5
Always brews great in my tall cup. Many other coffees tend to be too weak when you use the larger cup settings but not this one... Like I said... Yum!!,5
"Aweful, Especially compared to their old Four Cheese Queso, which our family loved. Why would they drop the old Four Cheese?",1
"Being from the mitten state I like my vernors & often by it. I have to let it sit for a while before drinking it, or it makes me sneeze. Other than that it's great! I'll keep buying it because it's Made in Michigan.",5
"These fabulous little red pearls are even better than Craisins!  Plump, juicy and perfect in banana bread.  The semi-tart cherry flavor has body and a definitive taste.  Will buy these again and again. Great surprise.",5
"Let me keep it short and to the point.  This rice is wonderful and I highly recommend it.  I use an automatic rice cooker so there is no work or guessing involved.  Put in 3 cups of rice, add water to the line, and 45 minutes later it is done perfectly.  I think what I like best about this rice is the texture.  It has a lot of ""crunch"" left in it after cooking.  The Soft Wheat & Rye Berries add to that crunchy texture as does the wild rice.  And this rice has a lot more flavor than plain, white rice.  We also know that this whole grain product is much more healthy for you than the plain white variety.  I have occasionally found this rice in some of the stores where I shop but far too often I search for it in vain.  Thankfully, I can count on Amazon to have this in stock!!!<br /><br />I also like the Rice Select Royal Blend with Brown & Red Rice with Pearled Barley & Rye Berries.  I alternate between these two varieties to keep things interesting.",5
"I used to drink Crystal Light over 10 years ago.  The choices were minimal:  Tea, tea with lemon, lemonade and pink lemonade.  At my job we have an area set up so employees can buy snacks and this variety pack.  Tired of soda, I opted to try the Crystal Light On the Go Wild Strawberry-Energy.  I instantly LOVED it.  This is coming from a person who really doesn't care for strawberries.<br /><br />Unlike another poster I didn't find it too strong.  I DO find the Cherry Pomegranate a tad powerful, but still yummy.  The last two-lemonade and raspberry lemonade- are also delicious.<br /><br />Having tried the Wild Strawberry at work I thought I'd see if Amazon had it and it did.  While I know purchasing an item this way is more expensive per serving, I prefer it this way.  When I make a pitcher of a drink I tend to get tired of it and it ends up going down the drain.  Now THAT is a waste of money!<br /><br />If you like Crystal Light then I'm pretty sure you'll like these flavors.  None of them are my favorite (I prefer fruit punch and pink lemonade) but I really like this product.",5
"I've tried several others but, because of its good reviews, I ordered Newman's (and also because I like all other Newman's).  It's as bold as advertised.",5
"Pepperidge Farm Bordeaux cookies has my vote for the best cookies on the plannet.<br /><br />Problem was in the shipping/packaging, since in the 4 packs I've opened, I can count on 2 hands the number of whole (unbroken) cookies I've gotten. Most of the cookies are in pieces as big as or smaller than a quarter.<br /><br />I'd think twice about ordering cookies via the net.",3
"Wasn't sure how easy this product would be to locate, was so happy to find it at Amazon. This is a delicious product great for smoothies or sandwiches, the taste is amazingly smooth and peanutty great texture. I would highly recommend it for people like myself that is watching their calories and salt and sugar intake. Amazon is an excellent resource for hard to find products and their service is outstanding.",5
"Being a peanut butter lover, have to keep it out of my house or it disappears way too fast.  So when I found powdered peanut butter (with more than half the fat removed, but with the same peanutty taste), I was in heaven.<br /><br />Now I can mix it with my yogurt and/or ice cream; make my peanut butter pie and don't feel quite as guilty while totally enjoying the flavor.<br /><br />And ... so does my daughter-in-law who is a big fan of peanut butter also.<br /><br />So for all those peanut butter lovers out there, I highly recommend the Powdered Peanut Butter!!!",4
"After a couple of days to try out these 2 Peanut butter substitutes (the regular and chocolate versions) I can say I'm a convert. I LOVE peanut butter, for me it's a trigger food. If I eat it, I tend to want to eat half the jar at once and it can lead to wanting to eat other things I know I shouldn't. I've worked damn hard to shed 170lb this past year and half and indulging in PB is something I very rarely do anymore. I'd all but given it up. So actually finding something like this, which will allow me to enjoy the occasional PB&J sandwich without the feelings of guilt and remorse is a godsend!<br />The reg. version of PB2 does have a roasted peanut taste to it, so it's not quite like regular PB, you don't get the salty sweeter taste of Jiff or Skippy. JUST the roasted peanut taste. But it's quickly adapted to. And the Chocolate version (which I was more skeptical of) was even better! You can eat either one right after you mix them with water, but I think they're best when added to something else.<br />First of all I like to mix a base of reg PB2 with the chocolate version since I prefer a bit more of the nutty flavor to the chocolate. When just eating the chocolate my first thought was this would be great on whole wheat with a smear of marshmallow creme. And I don't even like marshmallow creme. But I will probably try it out one day to see if I'm right.<br />Either spread works great on fruit. I've tried apples and bananas so far. I also tried a PB&J with reduced calorie jelly and it worked very well. Good enough to replace the high calorie reg. PB&J sandwiches.<br /><br />It might sound strange but one combo I REALLY like is to scoop a bit of the powdered PB onto a fat free potato chip (I use Pringles fat free sour cream) and no there wasn't a taste clash or anything. I'm sure you could use the reg Pringles fat free, I just happen to think the sour cream ones taste better. Anyway turn the chip upside down and scoop a bit of powder into the ""bowl"" of the underside and eat. The salt of the chip is the first thing that hits your tongue and then the PB powered crumbs. And the combo is just....yumm!!!! Like that, it really does taste like any PB you could buy. I tried it with the chocolate version too, and there it's really like eating a peanut butter cup. And surprisingly the salty chip and powered PB isn't dry in the mouth. Quite the opposite actually. Now on the other hand, I tried adding the powdered PB2 as a topping to my skinny cow ice cream as I do on occasion like some melted PB on my ice cream, but there it DID dry out my mouth completely. Very strange. So I decided to try and mix the PB2 with water then heat it up in the microwave to see if it would melt like reg PB. It didn't. It got hot, but ended up dry like the cookie dough for peanut butter cookies where you can basically ball it up in your hands. I guess without all the fat the PB2 can't melt like standard peanut butter. So as for ice cream topping, at least so far, it hasn't worked.<br />I am looking forward to seeing what else these 2 powdered products would work with and am already planning on ordering the larger sizes as I'd like to try some baking with them too.<br /><br />All in all, I highly recommend them!<br /><br />Edit; Okay so it DOES work as a melted peanut butter substitute on ice cream. The key is to start with a base of water and gradually add powder to it until you get a very creamy consistency that will run off a spoon, just like melted pb *then* heat it up in the microwave. My first attempt with this method I used far too much water so be careful there. I kept adding bits of powder including the chocolate version for fear I'd use all my pb2 up. But it was so much water I couldn't thicken it up enough and decided to start over. However, rather than just throw it all out, I decided to try it out as a drink. And you know, heated up, it was like a super rich cup of cocoa....delish! Even with no added sweetener it was sweet enough. And as a plus, since it's just water you can save those calories there. Not to mention, if you're lactose intolerant like me, regular hot chocolate is out anyway.<br /><br />Now even though this stuff is 85% less than regular peanut butter it does have some calories and fat, so I wouldn't over do it. But as an occasional indulgence, I'm so happy I found this!<br /><br />PS: I just want to add since purchasing PB2 from Amazon I've found a site called ""netrition.com"" and I highly recommend buying food stuffs from them. Amazon is great for pretty much everything else, but they are way over priced on their food.<br />I bought the large 16oz pack of PB2 from netrition for only 7.99 per bag. the same price Amazon charges for the small 6.5oz size! They don't have free shipping like Amazon, but they only charge $4.95 flat shipping fee no matter how much you buy. So it's not bad. Maybe because I bought so much, or it was my first time ordering but they also sent me a free low cal. quick cook cake mix. They were also way WAY cheaper on PB2 peanut butter crackers and everything else I ordered from them.<br /><br />So like I said, Amazon is great for most things, but when it comes to food. Netrition is a whole lot better!",5
"My dog, a Great Pyrenees, has a few food allergies (rice, chicken, eggs, soy, nuts) and is picky about the food he eats. I was feeding him Orijen 6-Fish and, after a few months, he decided to stop eating it.  After trying a few different foods I heard about Pinnacle Trout and Sweet Potato.  He loves it and it agrees with his digestive system.  I order it from Amazon because the price is lower than the local pet stores in my area. With Amazon Prime, it arrives in 2 days.<br /><br />Four stars because I do need to mix the last quarter of the food with the next bag (treating it like a new dog food - I didn't need to do that with Orijen 6 Fish).  Highly recommended.",4
Way better than Red Bull and healthier too! Cannot stop drinking this stuff! Gets me going in the morning and keeps me going in the afternoon! Carbonated orange is the way to go!,5
"I never, ever drink 'diet' sodas and try to avoid most soda in general.  However, I do really enjoy <a href=""http://www.amazon.com/gp/product/B003SBW50G"">Blue Sky Organic New Century Cola</a> and was curious to try a sugar-free version.  Ultimately, I decided to go with the root beer 'free' soda over a cola because I figured the stronger taste would better cover any strange stevia taste or aftertaste.  I don't buy or consume stevia in other products so I'm not really sure how it tastes on its own, but it's really not bad in this soda.  It also doesn't dry out your mouth like other sweeteners.  This soda definitely has a unique taste but, as another reviewer pointed out, I think you are mostly tasting the ""french sweet birch oil"" per the ingredient list.  It also lists tahitian vanilla, hence the 'creamy' aspect.  The ingredients are quality and while it still has zero nutritional value, it's a better bet over regular or other diet sodas by a long shot.<br /><br />One thing I do not like is the misleading description: yes the soda does contain stevia as a sweetener but it is the second to last ingredient on the list.  The second ingredient out of seven is erythritol, which is a sugar alcohol, and NOT how this product is advertised to be sweetened.  Via wikipedia, it is ""60-70% as sweet as table sugar yet it is almost non-caloric, does not affect blood sugar, does not cause tooth decay, and is absorbed by the body, therefore unlikely to cause gastric side effects unlike other sugar alcohols.""  However, I bought this product because I wanted a natural (Stevia leaf) sweetened product rather than another lab-generated chemical.  Disappointed.  I'll probably continue to drink them over time, but will not be reordering.  The stevia content is minimal at best, with the main ingredients being filtered water and erythritol.  I'd rather consume 100 more calories and drink the natural and organic regular Blue Sky cola or root beer.<br /><br />You ARE still consuming an artificially-sweetened-with-chemicals drink!  If you're okay with that, the taste is nice.  But if, like me, that is exactly what you are trying to avoid, this product is not it.",3
"I drink a lot of Earl Grey tea and have tried four or five brands over the years, Bigelow being my favorite.  I've been trying this organic Rishi tea for two weeks now and have experimented with different amounts of tea to get the flavor right and have not been able to. It is just okay for me. This tea is advertised as a bold tea and I see that many reviewers agree but I do not.  If I add too much tea to try to make it stronger it adversely affects the taste unlike other loose teas I use.  Also, this tea requires 1 TBL of dry tea per 8oz of water; I need to use twice that amount for it not to be weak, whereas other loose teas I use only require 1 1/2 tsp. for the same strength, so this Rishi tea would be much more expensive to use regularly.  I may prepare it occasionally just to have a change once in awhile.<br /><br />The packaging is beautiful.  It is packed in a very nice earthy looking tin and is slender and tall so fits in the cabinet nicely.  The big plus with this tea is that it's organic.",3
"I had been buying Senseo coffee pods to use in my Hamilton Beach pod brewer.  The Senseo pods became impossible to find locally, so I looked online.  I drink decaf coffee, and it's often difficult to find decaf in different variaties.  When I found these pods from Baronet, I decided to take a chance on them.  They are so much better than the ones from Senseo!  The flavor is rich and the price is quite a bit less than the old pods I was buying. The Baronet pods are also stronger in flavor, which is great if you want to make a larger mug of coffee.  They come in flavors, too!  Highly recommend!!",5
